t,component-1,component-2,sos
13.710220440881765,5.723875917474477,5.675311731441638,11.399187648916119
13.870340681362727,5.78884429077418,5.75792482627484,11.546769117049024
14.030460921843687,5.873710073044873,5.846852251208931,11.720562324253857
14.19058116232465,5.957621949440634,5.920329529084501,11.877951478525123
14.350701402805612,6.034061360890073,6.023276838304924,12.057338199194959
14.510821643286574,6.142519858018813,6.11992262127864,12.262442479297448
14.670941883767536,6.243478665578982,6.1952861893186535,12.438764854897606
14.831062124248497,6.315867484251417,6.287892983765093,12.603760468016501
14.99118236472946,6.389493255570248,6.361590043468048,12.751083299038251
15.151302605210422,6.4892709726316715,6.45732516318786,12.946596135819512
15.311422845691384,6.545941004780116,6.539587593652814,13.085528598432978
15.471543086172344,6.600072934462373,6.610676111200817,13.21074904566316
15.631663326653307,6.706398772571055,6.68755192098948,13.393950693560514
15.791783567134269,6.813089810325979,6.755381183382891,13.568470993708834
15.951903807615231,6.872492380569986,6.849069878490271,13.72156225906031
16.112024048096195,6.973694475648344,6.928938561551635,13.902633037199976
16.272144288577156,7.034249420567442,7.0182082048975545,14.052457625464935
16.43226452905812,7.116996522236109,7.092858607265246,14.209855129501342
16.59238476953908,7.143620003174961,7.194376525858417,14.337996529033376
16.75250501002004,7.24581004210768,7.252187242909013,14.49799728501667
16.912625250501005,7.346059047215284,7.327456862038458,14.673515909253712
17.072745490981966,7.42488682095805,7.397260036578351,14.822146857536397
17.23286573146293,7.532964361013158,7.484484865905445,15.017449226918648
17.39298597194389,7.625360149594107,7.593968999183114,15.219329148777176
17.55310621242485,7.666616566132498,7.657124449354451,15.32374101548685
17.713226452905815,7.704135194552767,7.735135045681897,15.439270240234631
17.873346693386775,7.7844441953539265,7.792038969485233,15.576483164839132
18.03346693386774,7.886508069834083,7.885084274842356,15.771592344676517
18.1935871743487,7.985589102860434,7.9533563779956165,15.938945480856075
18.35370741482966,8.047138207359705,8.024520553669053,16.07165876102878
18.513827655310624,8.142557688852413,8.117711592150226,16.26026928100265
18.673947895791585,8.221125267683153,8.18556341676508,16.406688684448206
18.83406813627255,8.241987630156688,8.278062143584673,16.52004977374134
18.99418837675351,8.331089295638748,8.342613879792033,16.673703175430813
19.15430861723447,8.437584935950305,8.395104053039605,16.83268898898998
19.314428857715434,8.513126646887038,8.492041214477249,17.00516786136432
19.474549098196395,8.57713819922095,8.56771300744753,17.14485120666845
19.63466933867736,8.647738000851286,8.670409367756692,17.31814736860794
19.79478957915832,8.70303794683045,8.716964127524497,17.420002074354944
19.95490981963928,8.75835609466073,8.76587399984687,17.52423009450758
20.115030060120244,8.850070984086786,8.860245886234082,17.710316870320778
20.275150300601204,8.934408524135293,8.950009304086382,17.88441782822164
20.43527054108217,8.991902157020212,9.003471531348795,17.99537368836906
20.59539078156313,9.067346770890461,9.07640891027443,18.143755681164873
20.75551102204409,9.14111721805032,9.149789264847909,18.290906482898187
20.915631262525054,9.214173207072747,9.166893956952583,18.381067164025293
21.075751503006014,9.24468547110216,9.267536985877882,18.512222456980062
21.235871743486978,9.329088735431322,9.341450774146738,18.67053950957798
21.39599198396794,9.383387459273242,9.444433815851164,18.827821275124325
21.5561122244489,9.463040858681618,9.478420131659577,18.941460990341078
21.716232464929863,9.563627038821494,9.545774364985611,19.109401403807137
21.876352705410824,9.604367352840878,9.626594306298855,19.230961659139762
22.036472945891788,9.65701120900367,9.667708133437781,19.324719342441455
22.19659318637275,9.727471205971728,9.730884392114381,19.4583555980862
22.35671342685371,9.769235664545452,9.844576792434106,19.613812456979563
22.516833667334673,9.81776561378588,9.90716189571611,19.724927509502002
22.676953907815633,9.915188263216075,9.972199691373055,19.88738795458918
22.837074148296598,9.953782569734646,10.05879175891399,20.012574328648576
22.997194388777558,10.066673447792681,10.075862977154525,20.142536424947203
23.15731462925852,10.108516944581739,10.095729048639651,20.204245993221395
23.317434869739483,10.174141647892663,10.152628051203953,20.326769699096555
